input,output
0.0,4.0
0.0013,4.870455
0.0026,1.74182
0.0039,2.614095
0.0052,1.48728
0.0065,1.3613749999999998
0.0078,1.2363799999999998
0.0091,1.1122949999999996
0.0104,3.9891199999999998
0.011699999999999999,1.8668549999999995
0.012999999999999998,3.7454999999999994
0.014299999999999997,1.6250549999999995
0.015599999999999996,0.5055199999999993
0.016899999999999995,1.3868949999999993
0.018199999999999994,3.269179999999999
0.019499999999999993,2.1523749999999993
0.020799999999999992,1.036479999999999
0.02209999999999999,1.9214949999999988
0.02339999999999999,2.8074199999999987
0.02469999999999999,-0.3057450000000017
0.02599999999999999,0.5819999999999981
0.027299999999999987,1.470654999999998
0.028599999999999987,1.3602199999999978
0.029899999999999986,-0.7493050000000028
0.031199999999999985,0.14207999999999732
0.03249999999999999,1.0343749999999967
0.03379999999999999,-0.07242000000000415
0.03509999999999999,0.8216949999999952
0.036399999999999995,0.7167199999999947
0.0377,0.612654999999994
0.039,-0.4905000000000066
0.0403,1.4072549999999926
0.041600000000000005,0.305919999999992
0.04290000000000001,1.205494999999991
0.04420000000000001,-0.8940200000000096
0.04550000000000001,0.007374999999989917
0.046800000000000015,-2.090320000000011
0.04810000000000002,-1.1871050000000114
0.04940000000000002,0.7170199999999873
0.05070000000000002,-1.3779450000000129
0.052000000000000025,-1.4720000000000137
0.05330000000000003,-1.5651450000000144
0.05460000000000003,-2.657380000000016
0.05590000000000003,-0.7487050000000162
0.057200000000000036,-1.8391200000000172
0.05850000000000004,-0.928625000000018
0.05980000000000004,-0.017220000000018665
0.06110000000000004,-3.10490500000002
0.062400000000000046,-1.1916800000000212
0.06370000000000005,-0.27754500000002214
0.06500000000000004,-3.362500000000022
0.06630000000000004,-3.4465450000000226
0.06760000000000004,-1.529680000000023
0.06890000000000003,-3.6119050000000232
0.07020000000000003,-0.6932200000000233
0.07150000000000002,-2.773625000000024
0.07280000000000002,-0.8531200000000245
0.07410000000000001,-3.931705000000025
0.07540000000000001,-1.009380000000026
0.0767,-3.086145000000026
0.078,-4.162000000000027
0.0793,-2.236945000000027
0.08059999999999999,-2.3109800000000273
0.08189999999999999,-2.3841050000000283
0.08319999999999998,-2.456320000000029
0.08449999999999998,-2.5276250000000298
0.08579999999999997,-2.59802000000003
0.08709999999999997,-1.6675050000000304
0.08839999999999996,-4.736080000000031
0.08969999999999996,-2.803745000000032
0.09099999999999996,-1.8705000000000327
0.09229999999999995,-2.936345000000034
0.09359999999999995,-2.001280000000034
0.09489999999999994,-5.065305000000035
0.09619999999999994,-2.1284200000000357
0.09749999999999993,-4.190625000000037
0.09879999999999993,-2.2519200000000374
0.10009999999999993,-3.3123050000000385
0.10139999999999992,-3.3717800000000393
0.10269999999999992,-3.43034500000004
0.10399999999999991,-4.488000000000041
0.10529999999999991,-2.5447450000000416
0.1065999999999999,-4.6005800000000425
0.1078999999999999,-4.655505000000043
0.1091999999999999,-3.709520000000045
0.11049999999999989,-5.762625000000046
0.11179999999999989,-2.8148200000000463
0.11309999999999988,-4.866105000000048
0.11439999999999988,-5.916480000000049
0.11569999999999987,-5.965945000000049
0.11699999999999987,-6.0145000000000515
0.11829999999999986,-4.0621450000000525
0.11959999999999986,-3.1088800000000525
0.12089999999999985,-4.154705000000055
0.12219999999999985,-6.1996200000000545
0.12349999999999985,-3.2436250000000566
0.12479999999999984,-6.286720000000058
0.12609999999999985,-3.3289050000000593
0.12739999999999985,-3.3701800000000617
0.12869999999999984,-3.410545000000063
0.12999999999999984,-6.450000000000063
